Serial1,Name,Distance,Mass,Radius,Serial2,Star_name,Distance1,Mass1,Radius1

0,Sun,0.000015813,1,1,0,54 Piscium,36.1,4,53

1,Sirius,8.6,1.7,2.1,1,81 Cancri,66,0,2

2,Canopus,310,71,15,2,AB Pictoris,66.6,0,13.5

3,Alpha Centauri,4.4,1.2,1.1,3,CDâˆ’33Â°7795,163.08,0,20

4,Arcturus,37,26,1.1,4,CT Chamaeleontis,538,2.2,17

5,Vega,25,2.7,2.2,5,Eta Coronae Borealis,58.3,0,63

6,Capella,43,12,2.6,6,G 196-3,50.2,0,25

7,Rigel,860,78.9,23,7,GD 165,103,0,132

8,Procyon,11.4,1.9,1.5,8,Gliese 570,19,0,52

9,Betelgeuse,0640[1],950,20,9,GU Piscium,155.3,0,11

10,Achernar,144,9.3,6.7,10,HD 89744,126.2,0,64

11,Hadar,390,8.6,10.5,11,HD 100546,337.25,0,21

12,Altair,17,1.8,1.8,12,HN Pegasi,58.3,1.01,28

13,Acrux,320,8.9,18,13,LHS 4040Â [es],,0,34

14,Aldebaran,65,44,1.5,14,UScoCTIO 108,473,0,14

15,Antares,600,680,12,15,WD 0137-349,330,0,53

16,Spica,260,7.47,11.43,16,HD 41004 B,139,0,18.4

17,Pollux,34,8.8,1.9,17,HD 149382,241,0,15.5

18,Fomalhaut,25,1.8,1.9,18,COROT-15,,1.12,63.4

19,Deneb,"2,600",203,19,19,Xi Ursae Majoris B,25.11,0,37

20,Mimosa,350,8.4,16,20,Upsilon Andromedae,43.9,0,13.98

21,Regulus,77,3.1,3.8,21,Gliese 758,51.9,0,23

22,Adhara,430,14,12.5,22,HD 112758,53.81,0,35

23,Shaula,700,8.8,14.5,23,BDâˆ’04Â°782,66.6,0,21

24,Castor,52,2.4,2.8,24,HD 110833,55.44,0,17

25,Gacrux,88,84,1.5,25,HD 89707,81.54,0,54

26,Bellatrix,240,5.8,8.6,26,Tau Geminorum,302,0,18.1

27,Elnath,130,4.2,5,27,HAT-P-13,698,0,15.2

28,Miaplacidus,110,6.8,3.5,28,HD 217580,58.7,0,60

29,Alnilam,"2,000",42,32,29,HD 16760,163,0,14.3

30,Gamma Velorum,"1,100",6,9,30,HD 13189,603.4,0,14

31,Alnair,101,3.4,4,31,HD 18445,83.92,0,39

32,Alioth,81,4.2,2.9,32,HD 8673,124.75,0,14

33,Alnitak,1050,20,33,33,NGC 4349-127,7097,0,19.8

34,Dubhe,120,30,4.25,34,Gliese 569,31.5,0,116

35,Mirfak,590,68,8.5,35,HD 29587,146.77,0,40

36,Wezen,"1,600",200,17,36,ChaHÎ±8,522,0,18

37,Sargas,270,26,5.7,37,COROT-20,4000,0,17

38,Kaus Australis,140,6.8,3.5,38,HD 168443,123.5,0,34

39,Avior,630,130,9,39,HD 38529 A,138,0,37

40,Alkaid,104,3.4,6.1,40,Epsilon Indi,11.8,0,28

41,Menkalinan,81,2.77,2.39,41,HW Virginis,590,0,19.23

42,Atria,390,92,7,42,DT Virginis,37.55,1.1,12.5

43,Alhena,109,3.3,2.8,43,HD 4113,136,0,60

44,Peacock,180,4.8,5.9,44,Gliese 229,19,0,40

45,Alsephina[2],80,2.9,2.4,45,TYC 9486-927-1,111,0,54

46,Mirzam,500,10,13.5,46,Epsilon Indi,11.8,0,47

47,Polaris,430,39,5.4,47,HD 131664,180.8,0,18.15

48,Alphard,180,50,3,48,HD 136118,171,0,42

49,Mintaka,1200,16.5,24,49,HD 140913,156.42,0,46

50,Scheat,196,95,2.1,50,GQ Lupi,400,1.8,75

51,Almaaz,653,140,15,51,HD 162020,101.95,0,15

52,Rasalgethi,360,280,2.8,52,Nu Ophiuchi,152.8,0,21.9

53,Tau Ceti,11.9,0.893,0.783,53,HD 164427,127.52,0,46

54,Delta Pavonis,19.92,1.22,0.991,54,SCR 1845-6357,12.57,0,32

55,Ran,10.48,0.74,0.82,55,COROT-3,2220,1.01,21.66

56,V382 Carinae,"8,900",485,20,56,15 Sagittae,57.7,0,65

57,Eta Carinae,"7,500",881,100,57,Zeta Delphini,220,0,55

58,Delta Cephei,887,44.5,4.5,58,HD 202206,151.14,0,17.4

59,Mu Cephei,"6,000",972,19.2,0,0,0,0,0

60,Titawin,44.25,1.48,1.27,0,0,0,0,0

61,Rho Cassiopeiae,"8,154",881,22,0,0,0,0,0

62,P Cygni,"5,545",76,30,0,0,0,0,0

63,La Superba,"1,000",129,1,0,0,0,0,0

64,VV Cephei,"4,900",516,18.2,0,0,0,0,0

65,61 Cygni,11.41,0.665,0.7,0,0,0,0,0

66,R Doradus,178,298,1,0,0,0,0,0

67,Polaris Australis,281,3.74,1.59,0,0,0,0,0

68,R Coronae Borealis,"4,566",85,0.85,0,0,0,0,0

69,54 Piscium,36.1,0.94,0.76,0,0,0,0,0

70,Mira,300,370,1.2,0,0,0,0,0

71,RW Cephei,"14,000",1,158,13.9,0,0,0,0

72,Lacaille 8760,12.87,0.51,0.6,0,0,0,0,0

73,V838 Monocerotis,"19,896",750,45,0,0,0,0,0

74,HD 140283,190,1.4,3.2,0,0,0,0,0

75,II Pegasi,130,3.4,0.8,0,0,0,0,0

76,VY Canis Majoris,"3,900",1,420,17,0,0,0,0

77,Pistol Star,"25,000",320,100,0,0,0,0,0

78,S Doradus,"1,69,000",380,24,0,0,0,0,0

79,UY Scuti,"5,100",755,10,0,0,0,0,0

80,Barnard's Star,5.98,0.2,0.14,0,0,0,0,0

81,Luhman 16,6.52,82,0.04,0,0,0,0,0

82,Proxima Centauri,4.25,0.15,0.12,0,0,0,0,0

83,KIC 8462852,"1,470",1.58,1.43,0,0,0,0,0

84,R136a1,"1,63,000",32,290,0,0,0,0,0

85,Melnick 42,"1,63,000",21.1,189,0,0,0,0,0

86,WR 102,"18,134",0.39,19,0,0,0,0,0

87,VFTS 352,"1,64,000",14.47,57.48,0,0,0,0,0

88,YBP 1194,"2,772",0.99,1.01,0,0,0,0,0

89,Gliese 1214,47.5,0.21,0.16,0,0,0,0,0

90,NML Cygni,"5,251",1640,50,0,0,0,0,0

91,VB 10,18.72,0.1,0.075,0,0,0,0,0

92,WOH G64,"1,63,000",1600,20,0,0,0,0,0

93,TRAPPIST-1,39.6,0.12,0.089,0,0,0,0,0

94,2MASS J0523-1403,40.3,0.086,0.07,0,0,0,0,0

95,WISE 0855âˆ’0714,7.27,83,0.003,0,0,0,0,0

96,Icarus,"14,40,00,00,000",83,33,0,0,0,0,0

